                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.1327,                 1.4422,                  1.064,                0.66671,                0.69564,                0.68333,                 0.2469,                 2.1739,                 1.2568,                 1.0655,               0.004357,               0.004357,               0.004357
                     59,                 2.1274,                 1.4627,                 1.0697,                0.56354,                0.51147,                 0.5245,                0.18014,                 2.3031,                 1.3808,                  1.113,               0.004258,               0.004258,               0.004258
                     60,                 2.1029,                 1.4338,                 1.0655,                0.70013,                0.58929,                0.66493,                0.21471,                 2.3209,                 1.2728,                 1.0996,               0.004159,               0.004159,               0.004159
                     61,                 2.1062,                 1.4223,                 1.0584,                0.74326,                0.67126,                0.71579,                0.24122,                 2.2147,                 1.2554,                 1.0745,                0.00406,                0.00406,                0.00406
                     62,                 2.1038,                 1.4248,                 1.0611,                0.74903,                 0.6761,                0.74816,                0.26217,                 2.1744,                 1.1844,                 1.0679,               0.003961,               0.003961,               0.003961
                     63,                 2.1043,                 1.4157,                 1.0633,                0.60772,                0.54024,                0.57305,                0.18506,                  2.302,                 1.3703,                 1.0967,               0.003862,               0.003862,               0.003862
                     64,                 2.0784,                 1.4144,                 1.0603,                0.67922,                0.59442,                 0.6561,                 0.2133,                 2.2696,                  1.316,                 1.0851,               0.003763,               0.003763,               0.003763
                     65,                 2.0818,                 1.3886,                 1.0549,                0.71962,                0.68525,                0.70721,                0.22709,                 2.2168,                 1.2979,                 1.0726,               0.003664,               0.003664,               0.003664
                     66,                 2.0502,                 1.3725,                 1.0472,                0.52251,                0.51358,                0.47605,                0.15094,                 2.3831,                 1.5167,                 1.1218,               0.003565,               0.003565,               0.003565
                     67,                 2.0652,                  1.372,                 1.0532,                0.72783,                 0.6609,                0.70909,                0.23058,                 2.1845,                  1.281,                 1.0654,               0.003466,               0.003466,               0.003466
                     68,                 2.0446,                 1.3575,                 1.0502,                0.76723,                 0.6032,                0.67808,                0.23596,                 2.1855,                 1.3218,                 1.0623,               0.003367,               0.003367,               0.003367
                     69,                 2.0389,                 1.3523,                 1.0424,                0.58597,                0.56821,                0.55604,                0.15893,                 2.4242,                 1.4295,                 1.1178,               0.003268,               0.003268,               0.003268
                     70,                 2.0305,                 1.3399,                 1.0434,                0.71901,                0.67979,                0.70352,                0.25269,                 2.1448,                 1.1998,                 1.0576,               0.003169,               0.003169,               0.003169
                     71,                 2.0291,                  1.342,                 1.0349,                0.75771,                0.69722,                0.75828,                0.28062,                  2.092,                 1.1515,                 1.0454,                0.00307,                0.00307,                0.00307
                     72,                 2.0301,                 1.3356,                 1.0401,                0.77015,                 0.6571,                0.70585,                0.23226,                 2.2436,                 1.2701,                 1.0848,               0.002971,               0.002971,               0.002971
                     73,                 2.0095,                 1.3191,                 1.0316,                0.81384,                0.70782,                0.76942,                0.27475,                 2.0999,                 1.1302,                 1.0488,               0.002872,               0.002872,               0.002872
                     74,                 2.0092,                 1.3053,                 1.0338,                0.80694,                0.72163,                0.78148,                0.28822,                 2.1541,                 1.1404,                 1.0523,               0.002773,               0.002773,               0.002773
